"OSQ090b.Code.or.Value","OSQ090b.Value.Description","OSQ090b.Count","OSQ090b.Cumulative","OSQ090b.Skip.to.Item"
"1","Yes",216,216,"OSQ120b"
"2","No",77,293,""
"7","Refused",0,293,"OSQ120b"
"9","Don't know",1,294,"OSQ120b"
".","Missing",5641,5935,""
