"BMIWAIST.Code.or.Value","BMIWAIST.Value.Description","BMIWAIST.Count","BMIWAIST.Cumulative","BMIWAIST.Skip.to.Item"
"1","Could not obtain",369,369,NA
".","Missing",9393,9762,NA
