"OSQ040bc.Code.or.Value","OSQ040bc.Value.Description","OSQ040bc.Count","OSQ040bc.Cumulative","OSQ040bc.Skip.to.Item"
"1","Under 50 years old, or",12,12,"OSQ025"
"2","50 years old or older?",2,14,""
"7","Refused",0,14,"OSQ025"
"9","Don't know",0,14,"OSQ025"
".","Missing",3801,3815,""
