"OSD030aa.Code.or.Value","OSD030aa.Value.Description","OSD030aa.Count","OSD030aa.Cumulative","OSD030aa.Skip.to.Item"
"4 to 79","Range of Values",65,65,NA
"80","80 or older",7,72,NA
"77777","Refused",0,72,NA
"99999","Don't know",0,72,NA
".","Missing",5863,5935,NA
