"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 70.485","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
