"RFXC157.Code.or.Value","RFXC157.Value.Description","RFXC157.Count","RFXC157.Cumulative","RFXC157.Skip.to.Item"
"-6.91 to 6.194","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
