"WTSAU52.Code.or.Value","WTSAU52.Value.Description","WTSAU52.Count","WTSAU52.Cumulative","WTSAU52.Skip.to.Item"
"0 to 476370.78019","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
