"DRXTS160.Code.or.Value","DRXTS160.Value.Description","DRXTS160.Count","DRXTS160.Cumulative","DRXTS160.Skip.to.Item"
"0 to 129.323","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
