"DX2RLLI.Code.or.Value","DX2RLLI.Value.Description","DX2RLLI.Count","DX2RLLI.Cumulative","DX2RLLI.Skip.to.Item"
"4095.6 to 16815","Range of Values",466,466,NA
".","Missing",19,485,NA
