"PAD680.Code.or.Value","PAD680.Value.Description","PAD680.Count","PAD680.Cumulative","PAD680.Skip.to.Item"
"0 to 1380","Range of Values",6895,6895,NA
"7777","Refused",3,6898,NA
"9999","Don't know",53,6951,NA
".","Missing",2304,9255,NA
