"DSD010.Code.or.Value","DSD010.Value.Description","DSD010.Count","DSD010.Cumulative","DSD010.Skip.to.Item"
"1","Yes",3595,3595,NA
"2","No",6344,9939,NA
"7","Refused",14,9953,NA
"9","Don't know",10,9963,NA
".","Missing",2,9965,NA
