"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",2575,2575,NA
"1","Below lower detection limit",52,2627,NA
".","Missing",93,2720,NA
