"DXXVFATA.Code.or.Value","DXXVFATA.Value.Description","DXXVFATA.Count","DXXVFATA.Cumulative","DXXVFATA.Skip.to.Item"
"0.82 to 397.96","Range of Values",4693,4693,NA
".","Missing",999,5692,NA
