"URDMCHLC.Code.or.Value","URDMCHLC.Value.Description","URDMCHLC.Count","URDMCHLC.Cumulative","URDMCHLC.Skip.to.Item"
"0","At or above the detection limit",1977,1977,NA
"1","Below lower detection limit",998,2975,NA
".","Missing",230,3205,NA
