"WBXP064.Code.or.Value","WBXP064.Value.Description","WBXP064.Count","WBXP064.Cumulative","WBXP064.Skip.to.Item"
"-118.1456 to 174.4619","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
