"CSXSBOD.Code.or.Value","CSXSBOD.Value.Description","CSXSBOD.Count","CSXSBOD.Cumulative","CSXSBOD.Skip.to.Item"
"1","Strawberry",2819,2819,NA
"2","Garlic",29,2848,NA
"3","Leather",553,3401,NA
"4","Gasoline",124,3525,NA
".","Missing",183,3708,NA
