"SMQ666M.Code.or.Value","SMQ666M.Value.Description","SMQ666M.Count","SMQ666M.Cumulative","SMQ666M.Skip.to.Item"
"1","Regulars",93,93,NA
"2","Lights",69,162,NA
"3","Ultralights",13,175,NA
"7","Refused",0,175,NA
"9","Don't know",0,175,NA
".","Missing",7270,7445,NA
