"BIXC898K.Code.or.Value","BIXC898K.Value.Description","BIXC898K.Count","BIXC898K.Cumulative","BIXC898K.Skip.to.Item"
"5.09 to 922.21","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
