"LBCBR66L.Code.or.Value","LBCBR66L.Value.Description","LBCBR66L.Count","LBCBR66L.Cumulative","LBCBR66L.Skip.to.Item"
"0.08485 to 1.849","Range of Values",301,301,NA
".","Missing",0,301,NA
