"DXXRLLI.Code.or.Value","DXXRLLI.Value.Description","DXXRLLI.Count","DXXRLLI.Cumulative","DXXRLLI.Skip.to.Item"
"2042.4 to 22036.5","Range of Values",4660,4660,NA
".","Missing",1032,5692,NA
