"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",2115,2115,NA
"1","Below lower detection limit",443,2558,NA
".","Missing",115,2673,NA
