"BIXS050K.Code.or.Value","BIXS050K.Value.Description","BIXS050K.Count","BIXS050K.Cumulative","BIXS050K.Skip.to.Item"
"263.36 to 953.63","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
