"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"45 to 75","Range of Values",15,15,NA
"666","No response",0,15,NA
"888","Could not obtain",0,15,NA
".","Missing",2031,2046,NA
