"WBXF076.Code.or.Value","WBXF076.Value.Description","WBXF076.Count","WBXF076.Cumulative","WBXF076.Skip.to.Item"
"3267.8309 to 3267.8309","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
