"BIXC009K.Code.or.Value","BIXC009K.Value.Description","BIXC009K.Count","BIXC009K.Cumulative","BIXC009K.Skip.to.Item"
"16.26 to 472.41","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
