"BIXS015K.Code.or.Value","BIXS015K.Value.Description","BIXS015K.Count","BIXS015K.Cumulative","BIXS015K.Skip.to.Item"
"359.91 to 970.29","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
