"DR1TMFAT.Code.or.Value","DR1TMFAT.Value.Description","DR1TMFAT.Count","DR1TMFAT.Cumulative","DR1TMFAT.Skip.to.Item"
"0 to 169.376","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
