"DR1TS060.Code.or.Value","DR1TS060.Value.Description","DR1TS060.Count","DR1TS060.Cumulative","DR1TS060.Skip.to.Item"
"0 to 3.249","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
