"DS1TPOTA.Code.or.Value","DS1TPOTA.Value.Description","DS1TPOTA.Count","DS1TPOTA.Cumulative","DS1TPOTA.Skip.to.Item"
"0.1 to 1200","Range of Values",700,700,NA
".","Missing",9113,9813,NA
