"TYXP069.Code.or.Value","TYXP069.Value.Description","TYXP069.Count","TYXP069.Cumulative","TYXP069.Skip.to.Item"
"-144 to 128","Range of Values",8466,8466,NA
".","Missing",3,8469,NA
