"DXXLLLI.Code.or.Value","DXXLLLI.Value.Description","DXXLLLI.Count","DXXLLLI.Cumulative","DXXLLLI.Skip.to.Item"
"1518.2 to 19301.1","Range of Values",4862,4862,NA
".","Missing",918,5780,NA
