"LBXTT3.Code.or.Value","LBXTT3.Value.Description","LBXTT3.Count","LBXTT3.Cumulative","LBXTT3.Skip.to.Item"
"45 to 297","Range of Values",2364,2364,NA
".","Missing",180,2544,NA
