"LBDF10LC.Code.or.Value","LBDF10LC.Value.Description","LBDF10LC.Count","LBDF10LC.Cumulative","LBDF10LC.Skip.to.Item"
"0","At or above the detection limit",235,235,NA
"1","Below lower detection limit",11,246,NA
".","Missing",18,264,NA
