"AUXRR237.Code.or.Value","AUXRR237.Value.Description","AUXRR237.Count","AUXRR237.Cumulative","AUXRR237.Skip.to.Item"
"-43 to 78","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
