"WTINT4YR.Code.or.Value","WTINT4YR.Value.Description","WTINT4YR.Count","WTINT4YR.Cumulative","WTINT4YR.Skip.to.Item"
"620.682382 to 100652.32964","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
