"DRXTS100.Code.or.Value","DRXTS100.Value.Description","DRXTS100.Count","DRXTS100.Cumulative","DRXTS100.Skip.to.Item"
"0 to 8.41","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
