"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"66 to 400","Range of Values",4019,4019,NA
"77777","Refused",2,4021,NA
"99999","Don't know",239,4260,NA
".","Missing",1784,6044,NA
