"WTSCI23.Code.or.Value","WTSCI23.Value.Description","WTSCI23.Count","WTSCI23.Cumulative","WTSCI23.Skip.to.Item"
"0 to 461089.14667","Range of Values",727,727,NA
".","Missing",51,778,NA
