"DR2TS120.Code.or.Value","DR2TS120.Value.Description","DR2TS120.Count","DR2TS120.Cumulative","DR2TS120.Skip.to.Item"
"0 to 29.61","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
