"PFD069L.Code.or.Value","PFD069L.Value.Description","PFD069L.Count","PFD069L.Cumulative","PFD069L.Skip.to.Item"
"1825 to 20075","Range of Values",5,5,NA
"66666","Since birth",8,13,NA
"77777","Refused",0,13,NA
"99999","Don't know",1,14,NA
".","Missing",9631,9645,NA
