"DR1TTHEO.Code.or.Value","DR1TTHEO.Value.Description","DR1TTHEO.Count","DR1TTHEO.Cumulative","DR1TTHEO.Skip.to.Item"
"0 to 1733","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
