"LBXMR2.Code.or.Value","LBXMR2.Value.Description","LBXMR2.Count","LBXMR2.Cumulative","LBXMR2.Skip.to.Item"
"1","Sensitive",0,0,NA
"2","Resistant",0,0,NA
"3","Intermediate",0,0,NA
"4","No Result",0,0,NA
".","Missing",9929,9929,NA
