"RFXC056.Code.or.Value","RFXC056.Value.Description","RFXC056.Count","RFXC056.Cumulative","RFXC056.Skip.to.Item"
"-7.553 to 5.265","Range of Values",33700,33700,NA
".","Missing",21,33721,NA
