"TYXP096.Code.or.Value","TYXP096.Value.Description","TYXP096.Count","TYXP096.Cumulative","TYXP096.Skip.to.Item"
"-279 to 89","Range of Values",8463,8463,NA
".","Missing",6,8469,NA
