"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2596,2596,NA
"1","Below lower detection limit",9,2605,NA
".","Missing",92,2697,NA
