"VTQ280G.Code.or.Value","VTQ280G.Value.Description","VTQ280G.Count","VTQ280G.Cumulative","VTQ280G.Skip.to.Item"
"1","Yes",161,161,NA
"2","No",3173,3334,NA
"7","Refused",0,3334,NA
"9","Don't know",3,3337,NA
".","Missing",408,3745,NA
