"WTSPH51.Code.or.Value","WTSPH51.Value.Description","WTSPH51.Count","WTSPH51.Cumulative","WTSPH51.Skip.to.Item"
"0 to 771051.13226","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
