"LBDPFUAL.Code.or.Value","LBDPFUAL.Value.Description","LBDPFUAL.Count","LBDPFUAL.Cumulative","LBDPFUAL.Skip.to.Item"
"0","At or above the detection limit",627,627,NA
"1","Below lower detection limit",1473,2100,NA
".","Missing",194,2294,NA
