"DXXLLBMC.Code.or.Value","DXXLLBMC.Value.Description","DXXLLBMC.Count","DXXLLBMC.Cumulative","DXXLLBMC.Skip.to.Item"
"57.25 to 986.06","Range of Values",4019,4019,NA
".","Missing",1095,5114,NA
