"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"1.254 to 27970.14","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
