"SSOL1_N.Code.or.Value","SSOL1_N.Value.Description","SSOL1_N.Count","SSOL1_N.Cumulative","SSOL1_N.Skip.to.Item"
"831 to 23700","Range of Values",1755,1755,NA
".","Missing",23,1778,NA
