"WHD100Q.Code.or.Value","WHD100Q.Value.Description","WHD100Q.Count","WHD100Q.Cumulative","WHD100Q.Skip.to.Item"
"43","Ate more fruits, vegetables, salads",3,3,NA
".","Missing",6543,6546,NA
