"BIXS469K.Code.or.Value","BIXS469K.Value.Description","BIXS469K.Count","BIXS469K.Cumulative","BIXS469K.Skip.to.Item"
"52.23 to 818.71","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
