"OSQ130.Code.or.Value","OSQ130.Value.Description","OSQ130.Count","OSQ130.Cumulative","OSQ130.Skip.to.Item"
"1","Yes",245,245,""
"2","No",4690,4935,"OSQ150"
"7","Refused",0,4935,"OSQ150"
"9","Don't know",44,4979,"OSQ150"
".","Missing",0,4979,""
