"OSQ020a.Code.or.Value","OSQ020a.Value.Description","OSQ020a.Count","OSQ020a.Cumulative","OSQ020a.Skip.to.Item"
"1 to 5","Range of Values",72,72,""
"7777","Refused",0,72,"OSQ010b"
"9999","Don't know",0,72,"OSQ010b"
".","Missing",5863,5935,""
