"OHD11LAS.Code.or.Value","OHD11LAS.Value.Description","OHD11LAS.Count","OHD11LAS.Cumulative","OHD11LAS.Skip.to.Item"
"0 to 13","Range of Values",2295,2295,NA
"99","Calculation cannot be determined",256,2551,NA
".","Missing",4167,6718,NA
