"DR1TVB2.Code.or.Value","DR1TVB2.Value.Description","DR1TVB2.Count","DR1TVB2.Cumulative","DR1TVB2.Skip.to.Item"
"0.015 to 26.322","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
