"URDTIME3.Code.or.Value","URDTIME3.Value.Description","URDTIME3.Count","URDTIME3.Cumulative","URDTIME3.Skip.to.Item"
"8 to 1140","Range of Values",87,87,NA
".","Missing",8504,8591,NA
