"LBCBR3.Code.or.Value","LBCBR3.Value.Description","LBCBR3.Count","LBCBR3.Cumulative","LBCBR3.Skip.to.Item"
"72.6 to 2193.6","Range of Values",247,247,NA
".","Missing",0,247,NA
