"OPDDEXC.Code.or.Value","OPDDEXC.Value.Description","OPDDEXC.Count","OPDDEXC.Cumulative","OPDDEXC.Skip.to.Item"
"0","No",250,250,NA
"1","Yes",82,332,NA
"2","Maybe",76,408,NA
"3","Ungradable",10,418,NA
".","Missing",3445,3863,NA
