"OPDDVB.Code.or.Value","OPDDVB.Value.Description","OPDDVB.Count","OPDDVB.Cumulative","OPDDVB.Skip.to.Item"
"0","No",2416,2416,NA
"1","Questionable",1,2417,NA
"2","Yes",0,2417,NA
".","Missing",517,2934,NA
