"ARQ118BJ.Code.or.Value","ARQ118BJ.Value.Description","ARQ118BJ.Count","ARQ118BJ.Cumulative","ARQ118BJ.Skip.to.Item"
"19","Gout",4,4,NA
".","Missing",5102,5106,NA
