"URDMPBLC.Code.or.Value","URDMPBLC.Value.Description","URDMPBLC.Count","URDMPBLC.Cumulative","URDMPBLC.Skip.to.Item"
"0","At or above the detection limit",2671,2671,NA
"1","Below lower detection limit",15,2686,NA
".","Missing",91,2777,NA
