"LBXVB6.Code.or.Value","LBXVB6.Value.Description","LBXVB6.Count","LBXVB6.Cumulative","LBXVB6.Skip.to.Item"
"10 to 962","Range of Values",6862,6862,NA
"7.1","Fill Value of Limit of Detection",960,7822,NA
".","Missing",1357,9179,NA
